Logger started at: Monday, April 13, 2015 1:53:23 AM PDT
Component: com.appcelerator.titanium.android.core
Version: 1.0.0.1413588748
[54:41.561] Sent: >21*1428915281537*version<
[54:41.598] Recv: >1428915281537*1*3.0.0.1407437730<
[54:41.623] Sent: >36*1428915281538*option*monitorXHR*true<
[54:41.634] Recv: >1428915281538*!unknown option <monitorXHR><
[54:41.636] Sent: >45*1428915281539*option*suspendOnFirstLine*false<
[54:41.649] Recv: >1428915281539<
[54:41.649] Sent: >46*1428915281540*option*suspendOnExceptions*false<
[54:41.785] Recv: >1428915281540<
[54:41.785] Sent: >41*1428915281541*option*suspendOnErrors*true<
[54:42.509] Recv: >1428915281541<
[54:42.510] Sent: >43*1428915281542*option*suspendOnKeywords*true<
[54:42.511] Recv: >1428915281542<
[54:42.512] Sent: >45*1428915281543*option*bypassConstructors*false<
[54:42.513] Recv: >1428915281543*!unknown option <bypassConstructors><
[54:42.513] Sent: >45*1428915281544*option*stepFiltersEnabled*false<
[54:42.515] Recv: >1428915281544*!unknown option <stepFiltersEnabled><
[54:42.515] Sent: >30*1428915281545*detailFormatters<
[54:42.518] Recv: >1428915281545<
[54:42.519] Sent: >20*1428915281546*enable<
[54:42.521] Recv: >resumed*start<
[54:42.522] Recv: >scripts*created*1|ti:/webview.js|anonymous|1|1<
[54:42.522] Recv: >1428915281546<
[54:42.523] Recv: >scripts*created*2|ti:/bootstrap.js|anonymous|1|1<
[54:42.523] Recv: >scripts*created*3|ti:/kroll.js|anonymous|1|1<
[54:42.524] Recv: >scripts*created*4|ti:/titanium.js|anonymous|1|1<
[54:42.524] Recv: >scripts*created*5|ti:/properties.js|anonymous|1|1<
[54:42.525] Recv: >scripts*created*6|ti:/tabgroup.js|anonymous|1|1<
[54:42.529] Recv: >scripts*created*7|ti:/events.js|anonymous|1|1<
[54:42.529] Recv: >scripts*created*8|ti:/ui.js|anonymous|1|1<
[54:42.530] Recv: >scripts*created*9|ti:/console.js|anonymous|1|1<
[54:42.531] Recv: >scripts*created*10|ti:/path.js|anonymous|1|1<
[54:42.531] Recv: >scripts*created*11|ti:/invoker.js|anonymous|1|1<
[54:42.532] Recv: >scripts*created*12|ti:/tab.js|anonymous|1|1<
[54:42.532] Recv: >scripts*created*13|ti:/url.js|anonymous|1|1<
[54:42.533] Recv: >scripts*created*14|ti:/window.js|anonymous|1|1<
[54:42.533] Recv: >scripts*created*15|ti:/httpclient.js|anonymous|1|1<
[54:42.534] Recv: >scripts*created*16|ti:/listview.js|anonymous|1|1<
[54:42.534] Recv: >scripts*created*17|ti:/network.js|anonymous|1|1<
[54:42.535] Recv: >scripts*created*18|ti:/module.js|anonymous|1|1<
[54:43.397] Recv: >scripts*created*19|app:///app.js|anonymous|1|1<
[55:35.829] Sent: >10**terminate<
----------End of file----------
